Nbpiecs,Cdqualp,Cdhabit,Cdresid
0.0267,1.0000,0.0000,1.0000
0.0251,1.0000,0.0026,1.0000
0.0212,1.0000,0.1058,1.0000
0.0199,0.9999,0.4586,1.0000
0.0236,0.9999,0.4988,1.0000
0.0289,0.9999,0.5001,1.0000
0.0351,0.9999,0.5052,1.0000
0.0347,0.9983,0.6315,1.0000
0.0197,0.9946,0.9518,1.0000
0.0173,0.9945,0.9977,1.0000
0.0214,1.0000,0.0000,0.9999
0.0179,1.0000,0.0010,0.9999
0.0140,0.9994,0.0362,0.9999
0.0175,0.9946,0.3544,1.0000
0.0247,0.9946,0.4936,1.0000
0.0324,0.9973,0.4999,1.0000
0.0396,0.9986,0.5034,1.0000
0.0400,0.9903,0.5776,1.0000
0.0229,0.9533,0.9024,1.0000
0.0176,0.9451,0.9943,1.0000
0.0157,0.9999,0.0002,0.9978
0.0121,0.9997,0.0007,0.9987
0.0098,0.9933,0.0136,0.9991
0.0132,0.9049,0.2081,0.9996
0.0243,0.8297,0.4766,1.0000
0.0348,0.9064,0.4996,1.0000
0.0423,0.9538,0.5028,1.0000
0.0423,0.9065,0.5564,1.0000
0.0271,0.6936,0.8476,1.0000
0.0198,0.6173,0.9846,1.0000
0.0120,0.9914,0.0116,0.9525
0.0096,0.9933,0.0106,0.9756
0.0095,0.9457,0.0592,0.9864
0.0166,0.6428,0.3664,0.9964
0.0218,0.5257,0.4926,0.9997
0.0269,0.5479,0.4998,1.0000
0.0355,0.5861,0.5017,1.0000
0.0396,0.5440,0.5240,1.0000
0.0353,0.4271,0.6500,1.0000
0.0269,0.2809,0.8671,1.0000
0.0250,0.7691,0.2613,0.3924
0.0189,0.8422,0.2078,0.5928
0.0165,0.7295,0.3115,0.8263
0.0209,0.5200,0.4855,0.9820
0.0244,0.5009,0.4998,0.9987
0.0285,0.5011,0.5000,0.9999
0.0351,0.5018,0.5002,1.0000
0.0400,0.4989,0.5027,1.0000
0.0414,0.4837,0.5191,1.0000
0.0417,0.4288,0.5823,1.0000
0.0385,0.5323,0.4913,0.0135
0.0363,0.5475,0.5155,0.0432
0.0272,0.5109,0.5773,0.3737
0.0240,0.4869,0.5248,0.9272
0.0273,0.4979,0.5022,0.9951
0.0305,0.4998,0.5001,0.9997
0.0360,0.5000,0.5000,1.0000
0.0410,0.4997,0.5003,1.0000
0.0444,0.4982,0.5018,1.0000
0.0491,0.4946,0.5056,1.0000
0.0391,0.5031,0.5016,0.0006
0.0379,0.4947,0.5311,0.0081
0.0309,0.4152,0.6239,0.1603
0.0262,0.4081,0.5632,0.8013
0.0291,0.4841,0.5038,0.9857
0.0314,0.4982,0.4991,0.9993
0.0367,0.4999,0.4987,1.0000
0.0429,0.5000,0.4994,1.0000
0.0488,0.4999,0.5000,1.0000
0.0532,0.4997,0.5003,1.0000
0.0377,0.4778,0.4620,0.0018
0.0363,0.4526,0.4773,0.0337
0.0297,0.2733,0.4622,0.3499
0.0268,0.1456,0.3496,0.8241
0.0290,0.3374,0.3949,0.9749
0.0315,0.4740,0.4428,0.9985
0.0379,0.4984,0.4481,1.0000
0.0479,0.5000,0.4815,1.0000
0.0561,0.5000,0.4978,1.0000
0.0595,0.5000,0.4999,1.0000
0.0271,0.3190,0.2381,0.0124
0.0263,0.2577,0.2119,0.1962
0.0251,0.0593,0.0960,0.8076
0.0249,0.0122,0.0504,0.9760
0.0254,0.0705,0.0531,0.9950
0.0268,0.3653,0.0701,0.9995
0.0310,0.4914,0.1067,1.0000
0.0509,0.4998,0.3358,1.0000
0.0678,0.5000,0.4840,1.0000
0.0710,0.5000,0.4991,1.0000
0.0177,0.1186,0.0454,0.0268
0.0200,0.0791,0.0332,0.3548
0.0239,0.0101,0.0098,0.9178
0.0242,0.0036,0.0055,0.9950
0.0246,0.0528,0.0047,0.9995
0.0258,0.3521,0.0032,1.0000
0.0277,0.4900,0.0154,1.0000
0.0459,0.4997,0.1796,1.0000
0.0780,0.5000,0.4582,1.0000
0.0833,0.5000,0.4977,1.0000